nodes,ranks,copper,jobid,timestamp,import_cold,import_warm,reg_min,reg_median,reg_max,rpc_min,rpc_median,rpc_max
2,24,Yes,8555497,2026-06-22 15:34:55,51.83,12.90,0.091,0.096,0.101,10.274,10.274,10.274
2,24,Yes,8555543,2026-06-22 16:07:56,55.63,12.91,0.084,0.088,0.091,10.261,10.261,10.261
2,24,Yes,8555561,2026-06-22 16:22:00,52.19,12.99,0.086,0.111,0.136,10.442,10.442,10.442
2,24,Yes,8555591,2026-06-22 16:50:31,15.20,12.97,0.085,0.087,0.088,10.240,10.240,10.240
2,24,Yes,8555606,2026-06-22 17:05:59,53.98,12.90,0.081,0.193,0.304,10.266,10.266,10.266
2,24,Yes,8555689,2026-06-22 17:58:12,34.01,12.87,0.083,0.085,0.087,10.250,10.250,10.250
4,48,Yes,8555705,2026-06-22 18:09:14,58.85,12.95,0.082,0.087,0.094,10.302,10.306,10.310
4,48,Yes,8555734,2026-06-22 18:23:41,56.59,13.32,0.086,0.102,0.242,10.272,10.366,10.386
4,48,Yes,8555980,2026-06-22 20:40:21,80.94,13.12,0.092,0.118,0.120,10.296,10.370,10.420
2,24,No,8585107,2026-06-30 15:53:16,34.02,24.52,null,null,null,null,null,null
2,24,No,8586105,2026-06-30 16:13:14,64.14,6.68,null,null,null,null,null,null
4,48,No,8591113,2026-06-30 17:30:38,32.91,4.45,null,null,null,null,null,null
4,48,No,8595423,2026-06-30 18:38:45,34.36,4.88,null,null,null,null,null,null
4,48,No,8595803,2026-06-30 18:45:09,35.03,4.56,null,null,null,null,null,null
8,96,Yes,8596192,2026-06-30 18:57:36,221.04,13.79,0.082,0.084,0.087,10.384,10.744,10.940
8,96,No,8596729,2026-06-30 19:03:12,34.55,6.47,null,null,null,null,null,null
8,96,Yes,8599645,2026-06-30 20:00:32,51.98,13.45,0.080,0.084,0.221,10.632,10.686,10.743
8,96,Yes,8600389,2026-06-30 20:11:43,52.66,12.96,0.082,0.087,0.163,10.604,10.709,10.850
8,96,Yes,8601585,2026-06-30 20:29:15,48.34,13.26,0.082,0.086,0.105,10.299,10.541,10.725
16,192,Yes,8602054,2026-06-30 20:40:47,65.32,12.90,0.081,0.086,0.098,10.474,10.789,10.918
16,192,Yes,8602723,2026-06-30 20:51:04,61.86,12.93,0.087,0.099,0.144,10.613,10.841,10.969
16,192,Yes,8603208,2026-06-30 21:01:38,69.10,27.92,0.762,1.037,1.066,10.375,10.718,10.771
16,192,No,8603810,2026-06-30 21:14:52,36.57,4.95,null,null,null,null,null,null
16,192,No,8638510,2026-07-01 16:13:50,36.16,4.87,null,null,null,null,null,null
16,192,No,8638796,2026-07-01 19:22:34,58.35,12.65,null,null,null,null,null,null
16,192,No,8638830,2026-07-01 20:02:32,80.07,16.63,null,null,null,null,null,null
